,lake,year,month,layer,group,genus,var,value,units,SamplingMethodID,MethodID
22,Giles,1993,2,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
23,Giles,1993,3,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
24,Giles,1993,4,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
25,Giles,1993,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
26,Giles,1993,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
27,Giles,1993,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
28,Giles,1993,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
29,Giles,1993,9,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
30,Giles,1993,11,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
31,Giles,1997,4,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
32,Giles,1997,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
33,Giles,1997,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
34,Giles,2001,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
35,Giles,2001,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
36,Giles,2001,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method024,Method028
37,Giles,2005,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
38,Giles,2005,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
39,Giles,2005,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
40,Giles,2005,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
41,Giles,2006,5,whole column,Bosmina,Bosmina,abundance,0.01,org per liter,Method026,Method028
42,Giles,2006,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
43,Giles,2006,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
44,Giles,2006,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
45,Giles,2007,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
46,Giles,2007,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
47,Giles,2007,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
48,Giles,2007,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
49,Giles,2008,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
50,Giles,2008,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
51,Giles,2008,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
52,Giles,2009,4,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
53,Giles,2009,5,whole column,Bosmina,Bosmina,abundance,0.04,org per liter,Method023,Method028
54,Giles,2009,6,whole column,Bosmina,Bosmina,abundance,0.03,org per liter,Method023,Method028
55,Giles,2009,7,whole column,Bosmina,Bosmina,abundance,0.08,org per liter,Method023,Method028
56,Giles,2009,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
57,Giles,2010,5,whole column,Bosmina,Bosmina,abundance,9.37,org per liter,Method023,Method028
58,Giles,2010,6,whole column,Bosmina,Bosmina,abundance,14.63,org per liter,Method023,Method028
59,Giles,2010,7,whole column,Bosmina,Bosmina,abundance,2.54,org per liter,Method023,Method028
60,Giles,2010,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
61,Giles,2010,9,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
62,Giles,2011,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
63,Giles,2011,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
64,Giles,2011,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
65,Giles,2011,8,whole column,Bosmina,Bosmina,abundance,0.03,org per liter,Method023,Method028
66,Giles,2013,4,whole column,Bosmina,Bosmina,abundance,0.01,org per liter,Method023,Method028
67,Giles,2013,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
68,Giles,2013,8,whole column,Bosmina,Bosmina,abundance,0.22,org per liter,Method023,Method028
69,Giles,2014,6,whole column,Bosmina,Bosmina,abundance,0.01,org per liter,Method023,Method028
70,Giles,2014,7,whole column,Bosmina,Bosmina,abundance,0.03,org per liter,Method023,Method028
71,Giles,2014,8,whole column,Bosmina,Bosmina,abundance,0.07,org per liter,Method023,Method028
72,Giles,2015,5,whole column,Bosmina,Bosmina,abundance,0.23,org per liter,Method023,Method028
73,Giles,2015,6,whole column,Bosmina,Bosmina,abundance,0.35,org per liter,Method023,Method028
74,Giles,2015,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
75,Giles,2015,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
76,Giles,2016,5,whole column,Bosmina,Bosmina,abundance,0.01,org per liter,Method023,Method028
77,Giles,2016,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
78,Giles,2016,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
79,Giles,2016,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
80,Giles,2017,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
81,Giles,2017,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
82,Giles,2017,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method023,Method028
83,Giles,2017,8,whole column,Bosmina,Bosmina,abundance,0.05,org per liter,Method023,Method028
84,Giles,2017,9,whole column,Bosmina,Bosmina,abundance,0.55,org per liter,Method023,Method028
85,Giles,2017,10,whole column,Bosmina,Bosmina,abundance,0.58,org per liter,Method023,Method028
86,Giles,2018,5,whole column,Bosmina,Bosmina,abundance,0.02,org per liter,Method023,Method028
87,Giles,2018,6,whole column,Bosmina,Bosmina,abundance,0.06,org per liter,Method023,Method028
88,Giles,2018,7,whole column,Bosmina,Bosmina,abundance,0.08,org per liter,Method023,Method028
89,Giles,2018,8,whole column,Bosmina,Bosmina,abundance,0.08,org per liter,Method023,Method028
90,Giles,2018,9,whole column,Bosmina,Bosmina,abundance,0.01,org per liter,Method023,Method028
91,Giles,1990,1,whole column,Calanoid copepod,unidentified,abundance,31.63,org per liter,Method024,Method029
92,Giles,1990,2,whole column,Calanoid copepod,unidentified,abundance,23.31,org per liter,Method024,Method029
93,Giles,1990,3,whole column,Calanoid copepod,unidentified,abundance,23.82,org per liter,Method024,Method029
94,Giles,1990,4,whole column,Calanoid copepod,unidentified,abundance,39.54,org per liter,Method024,Method029
95,Giles,1990,5,whole column,Calanoid copepod,unidentified,abundance,85.92,org per liter,Method024,Method029
96,Giles,1990,6,whole column,Calanoid copepod,unidentified,abundance,73.19,org per liter,Method024,Method029
97,Giles,1990,7,whole column,Calanoid copepod,unidentified,abundance,76.43,org per liter,Method024,Method029
98,Giles,1990,8,whole column,Calanoid copepod,unidentified,abundance,43.18,org per liter,Method024,Method029
99,Giles,1990,9,whole column,Calanoid copepod,unidentified,abundance,33.09,org per liter,Method024,Method029
100,Giles,1990,10,whole column,Calanoid copepod,unidentified,abundance,32.41,org per liter,Method024,Method029
101,Giles,1990,11,whole column,Calanoid copepod,unidentified,abundance,41.57,org per liter,Method024,Method029
102,Giles,1990,12,whole column,Calanoid copepod,unidentified,abundance,38.47,org per liter,Method024,Method029
103,Giles,1991,1,whole column,Calanoid copepod,unidentified,abundance,14.32,org per liter,Method024,Method029
104,Giles,1991,2,whole column,Calanoid copepod,unidentified,abundance,12.64,org per liter,Method024,Method029
105,Giles,1991,3,whole column,Calanoid copepod,unidentified,abundance,12.42,org per liter,Method024,Method029
106,Giles,1991,4,whole column,Calanoid copepod,unidentified,abundance,14.56,org per liter,Method024,Method029
107,Giles,1991,5,whole column,Calanoid copepod,unidentified,abundance,26.84,org per liter,Method024,Method029
108,Giles,1991,6,whole column,Calanoid copepod,unidentified,abundance,29.41,org per liter,Method024,Method029
109,Giles,1991,7,whole column,Calanoid copepod,unidentified,abundance,29.19,org per liter,Method024,Method029
110,Giles,1991,8,whole column,Calanoid copepod,unidentified,abundance,24.07,org per liter,Method024,Method029
111,Giles,1991,9,whole column,Calanoid copepod,unidentified,abundance,23.31,org per liter,Method024,Method029
112,Giles,1991,10,whole column,Calanoid copepod,unidentified,abundance,22.55,org per liter,Method024,Method029
113,Giles,1991,11,whole column,Calanoid copepod,unidentified,abundance,20.53,org per liter,Method024,Method029
114,Giles,1991,12,whole column,Calanoid copepod,unidentified,abundance,19.05,org per liter,Method024,Method029
115,Giles,1992,1,whole column,Calanoid copepod,unidentified,abundance,15.24,org per liter,Method024,Method029
116,Giles,1992,2,whole column,Calanoid copepod,unidentified,abundance,24.26,org per liter,Method024,Method029
117,Giles,1992,4,whole column,Calanoid copepod,unidentified,abundance,14.28,org per liter,Method024,Method029
118,Giles,1992,5,whole column,Calanoid copepod,unidentified,abundance,21.41,org per liter,Method024,Method029
119,Giles,1992,6,whole column,Calanoid copepod,unidentified,abundance,25.57,org per liter,Method024,Method029
120,Giles,1992,7,whole column,Calanoid copepod,unidentified,abundance,18.56,org per liter,Method024,Method029
121,Giles,1992,8,whole column,Calanoid copepod,unidentified,abundance,17,org per liter,Method024,Method029
122,Giles,1992,9,whole column,Calanoid copepod,unidentified,abundance,23.81,org per liter,Method024,Method029
123,Giles,1992,10,whole column,Calanoid copepod,unidentified,abundance,12.94,org per liter,Method024,Method029
124,Giles,1992,11,whole column,Calanoid copepod,unidentified,abundance,13.78,org per liter,Method024,Method029
125,Giles,1993,1,whole column,Calanoid copepod,unidentified,abundance,14.93,org per liter,Method024,Method029
126,Giles,1993,2,whole column,Calanoid copepod,unidentified,abundance,9.73,org per liter,Method024,Method029
127,Giles,1993,3,whole column,Calanoid copepod,unidentified,abundance,10.04,org per liter,Method024,Method029
128,Giles,1993,4,whole column,Calanoid copepod,unidentified,abundance,9.56,org per liter,Method024,Method029
129,Giles,1993,5,whole column,Calanoid copepod,unidentified,abundance,17.6,org per liter,Method024,Method029
130,Giles,1993,6,whole column,Calanoid copepod,unidentified,abundance,31.01,org per liter,Method024,Method029
131,Giles,1993,7,whole column,Calanoid copepod,unidentified,abundance,33.33,org per liter,Method024,Method029
132,Giles,1993,8,whole column,Calanoid copepod,unidentified,abundance,29.59,org per liter,Method024,Method029
133,Giles,1993,9,whole column,Calanoid copepod,unidentified,abundance,9.83,org per liter,Method024,Method029
134,Giles,1993,11,whole column,Calanoid copepod,unidentified,abundance,24.36,org per liter,Method024,Method029
135,Giles,1997,4,whole column,Calanoid copepod,unidentified,abundance,14.26,org per liter,Method024,Method029
136,Giles,1997,6,whole column,Calanoid copepod,unidentified,abundance,37.11,org per liter,Method024,Method029
137,Giles,1997,8,whole column,Calanoid copepod,unidentified,abundance,80.82,org per liter,Method024,Method029
138,Giles,2001,6,whole column,Calanoid copepod,unidentified,abundance,49,org per liter,Method024,Method029
139,Giles,2001,7,whole column,Calanoid copepod,unidentified,abundance,39.25,org per liter,Method024,Method029
140,Giles,2001,8,whole column,Calanoid copepod,unidentified,abundance,40.38,org per liter,Method024,Method029
141,Giles,2005,5,whole column,Calanoid copepod,unidentified,abundance,18.39,org per liter,Method024,Method029
142,Giles,2005,6,whole column,Calanoid copepod,unidentified,abundance,17.99,org per liter,Method024,Method029
143,Giles,2005,7,whole column,Calanoid copepod,unidentified,abundance,20.51,org per liter,Method024,Method029
144,Giles,2005,8,whole column,Calanoid copepod,unidentified,abundance,29.59,org per liter,Method024,Method029
145,Giles,2006,5,whole column,Calanoid copepod,unidentified,abundance,27.94,org per liter,Method024,Method029
146,Giles,2006,6,whole column,Calanoid copepod,unidentified,abundance,49.51,org per liter,Method024,Method029
147,Giles,2006,7,whole column,Calanoid copepod,unidentified,abundance,26.88,org per liter,Method024,Method029
148,Giles,2006,8,whole column,Calanoid copepod,unidentified,abundance,19.81,org per liter,Method024,Method029
149,Giles,2007,5,whole column,Calanoid copepod,unidentified,abundance,10.36,org per liter,Method024,Method029
150,Giles,2007,6,whole column,Calanoid copepod,unidentified,abundance,22.31,org per liter,Method024,Method029
151,Giles,2007,7,whole column,Calanoid copepod,unidentified,abundance,26.67,org per liter,Method024,Method029
152,Giles,2007,8,whole column,Calanoid copepod,unidentified,abundance,62,org per liter,Method024,Method029
153,Giles,2008,4,whole column,Calanoid copepod,unidentified,abundance,12.6,org per liter,Method023,Method029
154,Giles,2008,5,whole column,Calanoid copepod,unidentified,abundance,8.89,org per liter,Method023,Method029
155,Giles,2008,6,whole column,Calanoid copepod,unidentified,abundance,16.91,org per liter,Method023,Method029
156,Giles,2008,7,whole column,Calanoid copepod,unidentified,abundance,4.16,org per liter,Method023,Method029
157,Giles,2008,8,whole column,Calanoid copepod,unidentified,abundance,1.62,org per liter,Method023,Method029
158,Giles,2009,4,whole column,Calanoid copepod,unidentified,abundance,0.75,org per liter,Method023,Method029
159,Giles,2009,5,whole column,Calanoid copepod,unidentified,abundance,3.53,org per liter,Method023,Method029
160,Giles,2009,6,whole column,Calanoid copepod,unidentified,abundance,6.15,org per liter,Method023,Method029
161,Giles,2009,7,whole column,Calanoid copepod,unidentified,abundance,2.47,org per liter,Method023,Method029
162,Giles,2009,8,whole column,Calanoid copepod,unidentified,abundance,2.91,org per liter,Method023,Method029
163,Giles,2010,5,whole column,Calanoid copepod,unidentified,abundance,4.55,org per liter,Method023,Method029
164,Giles,2010,6,whole column,Calanoid copepod,unidentified,abundance,14.1,org per liter,Method023,Method029
165,Giles,2010,7,whole column,Calanoid copepod,unidentified,abundance,16.99,org per liter,Method023,Method029
166,Giles,2010,8,whole column,Calanoid copepod,unidentified,abundance,8.97,org per liter,Method023,Method029
167,Giles,2010,9,whole column,Calanoid copepod,unidentified,abundance,12.13,org per liter,Method023,Method029
168,Giles,2011,5,whole column,Calanoid copepod,unidentified,abundance,5.43,org per liter,Method023,Method029
169,Giles,2011,6,whole column,Calanoid copepod,unidentified,abundance,7.31,org per liter,Method023,Method029
170,Giles,2011,7,whole column,Calanoid copepod,unidentified,abundance,7.19,org per liter,Method023,Method029
171,Giles,2011,8,whole column,Calanoid copepod,unidentified,abundance,7.74,org per liter,Method023,Method029
172,Giles,2013,4,whole column,Calanoid copepod,unidentified,abundance,4.87,org per liter,Method023,Method029
173,Giles,2013,5,whole column,Calanoid copepod,unidentified,abundance,6.33,org per liter,Method023,Method029
174,Giles,2013,6,whole column,Calanoid copepod,unidentified,abundance,3.16,org per liter,Method023,Method029
175,Giles,2013,7,whole column,Calanoid copepod,unidentified,abundance,3.1,org per liter,Method023,Method029
176,Giles,2013,8,whole column,Calanoid copepod,unidentified,abundance,3.18,org per liter,Method023,Method029
177,Giles,2014,6,whole column,Calanoid copepod,unidentified,abundance,12.57,org per liter,Method023,Method029
178,Giles,2014,7,whole column,Calanoid copepod,unidentified,abundance,6.97,org per liter,Method023,Method029
179,Giles,2014,8,whole column,Calanoid copepod,unidentified,abundance,3.94,org per liter,Method023,Method029
180,Giles,2015,5,whole column,Calanoid copepod,unidentified,abundance,2.59,org per liter,Method023,Method029
181,Giles,2015,6,whole column,Calanoid copepod,unidentified,abundance,2.4,org per liter,Method023,Method029
182,Giles,2015,7,whole column,Calanoid copepod,unidentified,abundance,0,org per liter,Method023,Method029
183,Giles,2015,8,whole column,Calanoid copepod,unidentified,abundance,3.81,org per liter,Method023,Method029
184,Giles,2016,5,whole column,Calanoid copepod,unidentified,abundance,14.85,org per liter,Method023,Method029
185,Giles,2016,6,whole column,Calanoid copepod,unidentified,abundance,25.85,org per liter,Method023,Method029
186,Giles,2016,7,whole column,Calanoid copepod,unidentified,abundance,13.4,org per liter,Method023,Method029
187,Giles,2016,8,whole column,Calanoid copepod,unidentified,abundance,29.11,org per liter,Method023,Method029
188,Giles,2017,5,whole column,Calanoid copepod,unidentified,abundance,24.48,org per liter,Method023,Method029
189,Giles,2017,6,whole column,Calanoid copepod,unidentified,abundance,27.93,org per liter,Method023,Method029
190,Giles,2017,7,whole column,Calanoid copepod,unidentified,abundance,24.44,org per liter,Method023,Method029
191,Giles,2017,8,whole column,Calanoid copepod,unidentified,abundance,49.08,org per liter,Method023,Method029
192,Giles,2018,5,whole column,Calanoid copepod,unidentified,abundance,18.59,org per liter,Method023,Method029
193,Giles,2018,6,whole column,Calanoid copepod,unidentified,abundance,13.65,org per liter,Method023,Method029
194,Giles,2018,7,whole column,Calanoid copepod,unidentified,abundance,18.84,org per liter,Method023,Method029
195,Giles,2018,8,whole column,Calanoid copepod,unidentified,abundance,9.98,org per liter,Method023,Method029
196,Giles,2019,4,whole column,Calanoid copepod,unidentified,abundance,28.13,org per liter,Method023,Method029
197,Giles,2019,5,whole column,Calanoid copepod,unidentified,abundance,31.08,org per liter,Method023,Method029
198,Giles,2019,6,whole column,Calanoid copepod,unidentified,abundance,19.62,org per liter,Method023,Method029
199,Giles,2019,7,whole column,Calanoid copepod,unidentified,abundance,16.51,org per liter,Method023,Method029
200,Giles,2019,8,whole column,Calanoid copepod,unidentified,abundance,19.8,org per liter,Method023,Method029
201,Giles,1990,1,whole column,Cyclopoid copepod,unidentified,abundance,1.28,org per liter,Method024,Method029
202,Giles,1990,1,whole column,Cyclopoid copepod,unidentified,abundance,0,org per liter,Method026,Method028
203,Giles,1990,2,whole column,Cyclopoid copepod,unidentified,abundance,4.75,org per liter,Method024,Method029
204,Giles,1990,2,whole column,Cyclopoid copepod,unidentified,abundance,0.06,org per liter,Method026,Method028
205,Giles,1990,3,whole column,Cyclopoid copepod,unidentified,abundance,1.64,org per liter,Method024,Method029
206,Giles,1990,3,whole column,Cyclopoid copepod,unidentified,abundance,0.27,org per liter,Method026,Method028
207,Giles,1990,4,whole column,Cyclopoid copepod,unidentified,abundance,2.07,org per liter,Method024,Method029
208,Giles,1990,4,whole column,Cyclopoid copepod,unidentified,abundance,1.09,org per liter,Method026,Method028
209,Giles,1990,5,whole column,Cyclopoid copepod,unidentified,abundance,0,org per liter,Method024,Method029
210,Giles,1990,5,whole column,Cyclopoid copepod,unidentified,abundance,1.2,org per liter,Method026,Method028
211,Giles,1990,6,whole column,Cyclopoid copepod,unidentified,abundance,0.16,org per liter,Method024,Method029
212,Giles,1990,6,whole column,Cyclopoid copepod,unidentified,abundance,0.67,org per liter,Method026,Method028
213,Giles,1990,7,whole column,Cyclopoid copepod,unidentified,abundance,0.72,org per liter,Method024,Method029
214,Giles,1990,7,whole column,Cyclopoid copepod,unidentified,abundance,0.17,org per liter,Method026,Method028
215,Giles,1990,8,whole column,Cyclopoid copepod,unidentified,abundance,1.45,org per liter,Method024,Method029
216,Giles,1990,8,whole column,Cyclopoid copepod,unidentified,abundance,0.22,org per liter,Method026,Method028
217,Giles,1990,9,whole column,Cyclopoid copepod,unidentified,abundance,0.81,org per liter,Method024,Method029
218,Giles,1990,9,whole column,Cyclopoid copepod,unidentified,abundance,0.05,org per liter,Method026,Method028
219,Giles,1990,10,whole column,Cyclopoid copepod,unidentified,abundance,2.09,org per liter,Method024,Method029
220,Giles,1990,10,whole column,Cyclopoid copepod,unidentified,abundance,0.01,org per liter,Method026,Method028
221,Giles,1990,11,whole column,Cyclopoid copepod,unidentified,abundance,3.83,org per liter,Method024,Method029
222,Giles,1990,11,whole column,Cyclopoid copepod,unidentified,abundance,0,org per liter,Method026,Method028
223,Giles,1990,12,whole column,Cyclopoid copepod,unidentified,abundance,4.04,org per liter,Method024,Method029
224,Giles,1990,12,whole column,Cyclopoid copepod,unidentified,abundance,0,org per liter,Method026,Method028
225,Giles,1991,1,whole column,Cyclopoid copepod,unidentified,abundance,1.49,org per liter,Method024,Method029
226,Giles,1991,1,whole column,Cyclopoid copepod,unidentified,abundance,0.06,org per liter,Method026,Method028
227,Giles,1991,2,whole column,Cyclopoid copepod,unidentified,abundance,0.45,org per liter,Method024,Method029
228,Giles,1991,2,whole column,Cyclopoid copepod,unidentified,abundance,0.26,org per liter,Method026,Method028
229,Giles,1991,3,whole column,Cyclopoid copepod,unidentified,abundance,0.84,org per liter,Method024,Method029
230,Giles,1991,3,whole column,Cyclopoid copepod,unidentified,abundance,0.52,org per liter,Method026,Method028
231,Giles,1991,4,whole column,Cyclopoid copepod,unidentified,abundance,0.73,org per liter,Method024,Method029
232,Giles,1991,4,whole column,Cyclopoid copepod,unidentified,abundance,0.31,org per liter,Method026,Method028
233,Giles,1991,5,whole column,Cyclopoid copepod,unidentified,abundance,1.84,org per liter,Method024,Method029
234,Giles,1991,5,whole column,Cyclopoid copepod,unidentified,abundance,1.31,org per liter,Method026,Method028
235,Giles,1991,6,whole column,Cyclopoid copepod,unidentified,abundance,1.81,org per liter,Method024,Method029
236,Giles,1991,6,whole column,Cyclopoid copepod,unidentified,abundance,1.53,org per liter,Method026,Method028
237,Giles,1991,7,whole column,Cyclopoid copepod,unidentified,abundance,0.65,org per liter,Method024,Method029
238,Giles,1991,7,whole column,Cyclopoid copepod,unidentified,abundance,0.72,org per liter,Method026,Method028
239,Giles,1991,8,whole column,Cyclopoid copepod,unidentified,abundance,0.37,org per liter,Method024,Method029
240,Giles,1991,8,whole column,Cyclopoid copepod,unidentified,abundance,0.37,org per liter,Method026,Method028
241,Giles,1991,9,whole column,Cyclopoid copepod,unidentified,abundance,0.34,org per liter,Method024,Method029
242,Giles,1991,9,whole column,Cyclopoid copepod,unidentified,abundance,0.23,org per liter,Method026,Method028
243,Giles,1991,10,whole column,Cyclopoid copepod,unidentified,abundance,0.23,org per liter,Method024,Method029
244,Giles,1991,10,whole column,Cyclopoid copepod,unidentified,abundance,0.01,org per liter,Method026,Method028
245,Giles,1991,11,whole column,Cyclopoid copepod,unidentified,abundance,0.3,org per liter,Method024,Method029
246,Giles,1991,11,whole column,Cyclopoid copepod,unidentified,abundance,0.01,org per liter,Method026,Method028
247,Giles,1991,12,whole column,Cyclopoid copepod,unidentified,abundance,0.11,org per liter,Method024,Method029
248,Giles,1991,12,whole column,Cyclopoid copepod,unidentified,abundance,0.02,org per liter,Method026,Method028
249,Giles,1992,1,whole column,Cyclopoid copepod,unidentified,abundance,0.49,org per liter,Method024,Method029
250,Giles,1992,1,whole column,Cyclopoid copepod,unidentified,abundance,0.04,org per liter,Method026,Method028
251,Giles,1992,2,whole column,Cyclopoid copepod,unidentified,abundance,0.74,org per liter,Method024,Method029
252,Giles,1992,2,whole column,Cyclopoid copepod,unidentified,abundance,0.08,org per liter,Method026,Method028
253,Giles,1992,4,whole column,Cyclopoid copepod,unidentified,abundance,0.12,org per liter,Method024,Method029
254,Giles,1992,4,whole column,Cyclopoid copepod,unidentified,abundance,0.04,org per liter,Method026,Method028
255,Giles,1992,5,whole column,Cyclopoid copepod,unidentified,abundance,0.33,org per liter,Method024,Method029
256,Giles,1992,5,whole column,Cyclopoid copepod,unidentified,abundance,0.31,org per liter,Method026,Method028
257,Giles,1992,6,whole column,Cyclopoid copepod,unidentified,abundance,0.1,org per liter,Method024,Method029
258,Giles,1992,6,whole column,Cyclopoid copepod,unidentified,abundance,0.24,org per liter,Method026,Method028
259,Giles,1992,7,whole column,Cyclopoid copepod,unidentified,abundance,0.1,org per liter,Method024,Method029
260,Giles,1992,7,whole column,Cyclopoid copepod,unidentified,abundance,0.04,org per liter,Method026,Method028
261,Giles,1992,8,whole column,Cyclopoid copepod,unidentified,abundance,0.18,org per liter,Method024,Method029
262,Giles,1992,8,whole column,Cyclopoid copepod,unidentified,abundance,0.1,org per liter,Method026,Method028
263,Giles,1992,9,whole column,Cyclopoid copepod,unidentified,abundance,0.38,org per liter,Method024,Method029
264,Giles,1992,9,whole column,Cyclopoid copepod,unidentified,abundance,0.06,org per liter,Method026,Method028
265,Giles,1992,10,whole column,Cyclopoid copepod,unidentified,abundance,0.59,org per liter,Method024,Method029
266,Giles,1992,10,whole column,Cyclopoid copepod,unidentified,abundance,0.03,org per liter,Method026,Method028
267,Giles,1992,11,whole column,Cyclopoid copepod,unidentified,abundance,0.79,org per liter,Method024,Method029
268,Giles,1992,11,whole column,Cyclopoid copepod,unidentified,abundance,0.03,org per liter,Method026,Method028
269,Giles,1993,1,whole column,Cyclopoid copepod,unidentified,abundance,0.17,org per liter,Method024,Method029
270,Giles,1993,1,whole column,Cyclopoid copepod,unidentified,abundance,0.08,org per liter,Method026,Method028
271,Giles,1993,2,whole column,Cyclopoid copepod,unidentified,abundance,0.66,org per liter,Method024,Method029
272,Giles,1993,2,whole column,Cyclopoid copepod,unidentified,abundance,0.16,org per liter,Method026,Method028
273,Giles,1993,3,whole column,Cyclopoid copepod,unidentified,abundance,0.57,org per liter,Method024,Method029
274,Giles,1993,3,whole column,Cyclopoid copepod,unidentified,abundance,0.19,org per liter,Method026,Method028
275,Giles,1993,4,whole column,Cyclopoid copepod,unidentified,abundance,0.32,org per liter,Method024,Method029
276,Giles,1993,4,whole column,Cyclopoid copepod,unidentified,abundance,0.24,org per liter,Method026,Method028
277,Giles,1993,5,whole column,Cyclopoid copepod,unidentified,abundance,0.19,org per liter,Method024,Method029
278,Giles,1993,5,whole column,Cyclopoid copepod,unidentified,abundance,0.38,org per liter,Method026,Method028
279,Giles,1993,6,whole column,Cyclopoid copepod,unidentified,abundance,1.96,org per liter,Method024,Method029
280,Giles,1993,6,whole column,Cyclopoid copepod,unidentified,abundance,0.89,org per liter,Method026,Method028
281,Giles,1993,7,whole column,Cyclopoid copepod,unidentified,abundance,1.32,org per liter,Method024,Method029
